potential energy of electron
0.814607,	0,	0,	0,	-0.0784788,	-0.0680417,	0,	0.162065,	0,	0,	-0.0287897,	0.0112422,	0,	0,	0.162065,	0,	0,	-0.0281343,	0,	0,	0,	0.162065,	0,	0,	-0.0784788,	-0.0287897,	0,	0,	0.0347871,	0.00871775,	-0.0680417,	0.0112422,	-0.0281343,	0,	0.00871775,	0.0321086,	
0,	0.751071,	0,	0,	-0.0867265,	0.033863,	0.162065,	0,	0,	0,	0.030139,	-0.028093,	0,	0,	0,	0,	0,	-0.0139138,	0,	0,	0,	0,	0,	0,	-0.0287897,	-0.0476216,	0,	0,	0.0296157,	0.0001284,	0.0112422,	-0.0626653,	-0.00548101,	0,	0.0126319,	-0.00982607,	
0,	0,	0.751071,	0,	0,	-0.0847396,	0,	0,	0,	0,	0,	-0.0139138,	0.162065,	0,	0,	0,	-0.0273348,	0.0304391,	0,	0,	0,	0,	0,	0,	0,	0,	-0.0702796,	0,	0,	0.0184297,	-0.0281343,	-0.00548101,	-0.0396055,	0,	0.00872637,	0.0252926,	
0,	0,	0,	0.751071,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.162065,	0,	0,	0,	-0.0273348,	-0.0236701,	0,	0,	0,	-0.0702796,	0,	0,	0,	0,	0,	-0.0609206,	0,	0,	
-0.0784788,	-0.0867265,	0,	0,	0.493465,	0.000493698,	-0.0287897,	0.030139,	0,	0,	0.108829,	-0.00250339,	0,	0,	-0.0273348,	0,	0,	0.016366,	0,	0,	0,	-0.0273348,	0,	0,	0.0347871,	0.0296157,	0,	0,	0.0078929,	-0.00705296,	0.00871775,	0.0126319,	0.00872637,	0,	-0.0265882,	-0.00145452,	
-0.0680417,	0.033863,	-0.0847396,	0,	0.000493698,	0.492195,	0.0112422,	-0.028093,	-0.0139138,	0,	-0.00250339,	-0.0289916,	-0.0281343,	-0.0139138,	0.0304391,	0,	0.016366,	0.102698,	0,	0,	0,	-0.0236701,	0,	0,	0.00871775,	0.0001284,	0.0184297,	0,	-0.00705296,	-0.0238645,	0.0321086,	-0.00982607,	0.0252926,	0,	-0.00145452,	0.0128157,	
0,	0.162065,	0,	0,	-0.0287897,	0.0112422,	0.751071,	0,	0,	0,	-0.0476216,	-0.0626653,	0,	0,	0,	0,	0,	-0.00548101,	0,	0,	0,	0,	0,	0,	-0.0867265,	0.030139,	0,	0,	0.0296157,	0.0126319,	0.033863,	-0.028093,	-0.0139138,	0,	0.0001284,	-0.00982607,	
0.162065,	0,	0,	0,	0.030139,	-0.028093,	0,	0.756948,	0,	0,	-0.0697008,	0.0319342,	0,	0,	0.0410593,	0,	0,	-0.00750851,	0,	0,	0,	0.0410593,	0,	0,	0.030139,	-0.0697008,	0,	0,	0.0598891,	-0.0109239,	-0.028093,	0.0319342,	-0.00750851,	0,	-0.0109239,	0.0168601,	
0,	0,	0,	0,	0,	-0.0139138,	0,	0,	0.674829,	0,	0,	-0.0690212,	0,	0.0410593,	0,	0,	-0.00893051,	-0.00121635,	0,	0,	0,	0,	0,	0,	0,	0,	-0.0718816,	0,	0,	0.0119684,	-0.0139138,	-0.00750851,	0.0233643,	0,	0.00342927,	-0.0139029,	
0,	0,	0,	0,	0,	0,	0,	0,	0,	0.674829,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0410593,	0,	0,	-0.00893051,	0.00348478,	0,	0,	0,	-0.0718816,	0,	0,	0,	0,	0,	0.0280655,	0,	0,	
-0.0287897,	0.030139,	0,	0,	0.108829,	-0.00250339,	-0.0476216,	-0.0697008,	0,	0,	0.520021,	-0.00752144,	0,	0,	-0.00893051,	0,	0,	0.0024835,	0,	0,	0,	-0.00893051,	0,	0,	0.0296157,	0.0598891,	0,	0,	0.0783703,	-0.0114741,	0.0001284,	-0.0109239,	0.00342927,	0,	-0.00590094,	-0.00289294,	
0.0112422,	-0.028093,	-0.0139138,	0,	-0.00250339,	-0.0289916,	-0.0626653,	0.0319342,	-0.0690212,	0,	-0.00752144,	0.461311,	-0.00548101,	-0.00750851,	-0.00121635,	0,	0.0024835,	-0.0160478,	0,	0,	0,	0.00348478,	0,	0,	0.0126319,	-0.0109239,	0.0119684,	0,	-0.0114741,	-0.0399761,	-0.00982607,	0.0168601,	-0.0139029,	0,	-0.00289294,	-0.0133749,	
0,	0,	0.162065,	0,	0,	-0.0281343,	0,	0,	0,	0,	0,	-0.00548101,	0.751071,	0,	0,	0,	-0.0702796,	-0.0396055,	0,	0,	0,	0,	0,	0,	0,	0,	-0.0273348,	0,	0,	0.00872637,	-0.0847396,	-0.0139138,	0.0304391,	0,	0.0184297,	0.0252926,	
0,	0,	0,	0,	0,	-0.0139138,	0,	0,	0.0410593,	0,	0,	-0.00750851,	0,	0.674829,	0,	0,	-0.0718816,	0.0233643,	0,	0,	0,	0,	0,	0,	0,	0,	-0.00893051,	0,	0,	0.00342927,	-0.0139138,	-0.0690212,	-0.00121635,	0,	0.0119684,	-0.0139029,	
0.162065,	0,	0,	0,	-0.0273348,	0.0304391,	0,	0.0410593,	0,	0,	-0.00893051,	-0.00121635,	0,	0,	0.756948,	0,	0,	-0.0693826,	0,	0,	0,	0.0410593,	0,	0,	-0.0273348,	-0.00893051,	0,	0,	0.0118246,	-0.000250406,	0.0304391,	-0.00121635,	-0.0693826,	0,	-0.000250406,	0.0575272,	
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.674829,	0,	0,	0,	0,	0.0410593,	0,	0,	-0.00871737,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-0.0702301,	0,	0,	
0,	0,	-0.0273348,	0,	0,	0.016366,	0,	0,	-0.00893051,	0,	0,	0.0024835,	-0.0702796,	-0.0718816,	0,	0,	0.457444,	0.00249064,	0,	0,	0,	0,	0,	0,	0,	0,	0.0118246,	0,	0,	-0.00403873,	0.0184297,	0.0119684,	-0.000250406,	0,	-0.041409,	0.00479161,	
-0.0281343,	-0.0139138,	0.0304391,	0,	0.016366,	0.102698,	-0.00548101,	-0.00750851,	-0.00121635,	0,	0.0024835,	-0.0160478,	-0.0396055,	0.0233643,	-0.0693826,	0,	0.00249064,	0.515507,	0,	0,	0,	-0.00871737,	0,	0,	0.00872637,	0.00342927,	-0.000250406,	0,	-0.00403873,	-0.00436009,	0.0252926,	-0.0139029,	0.0575272,	0,	0.00479161,	0.0783706,	
0,	0,	0,	0.162065,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.751071,	0,	0,	0,	-0.0702796,	-0.0609206,	0,	0,	0,	-0.0273348,	0,	0,	0,	0,	0,	-0.0236701,	0,	0,	
0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0410593,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.674829,	0,	0,	-0.0718816,	0.0280655,	0,	0,	0,	-0.00893051,	0,	0,	0,	0,	0,	0.00348478,	0,	0,	
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0410593,	0,	0,	0,	0,	0.674829,	0,	0,	-0.0702301,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-0.00871737,	0,	0,	
0.162065,	0,	0,	0,	-0.0273348,	-0.0236701,	0,	0.0410593,	0,	0,	-0.00893051,	0.00348478,	0,	0,	0.0410593,	0,	0,	-0.00871737,	0,	0,	0,	0.756948,	0,	0,	-0.0273348,	-0.00893051,	0,	0,	0.0118246,	0.00476123,	-0.0236701,	0.00348478,	-0.00871737,	0,	0.00476123,	0.0104008,	
0,	0,	0,	-0.0273348,	0,	0,	0,	0,	0,	-0.00893051,	0,	0,	0,	0,	0,	0,	0,	0,	-0.0702796,	-0.0718816,	0,	0,	0.457444,	0.00260079,	0,	0,	0,	0.0118246,	0,	0,	0,	0,	0,	0.00476123,	0,	0,	
